epoch,step,loss,eval_loss
0,0,25.77799967692105,2.0909771256976657
1,1,52.159096879758096,1.3752207623587713
2,2,76.55100516720175,1.3353729910320706
3,3,38.99565217422378,1.2027051316367254
4,4,42.79594469210024,1.0489825540118747
5,5,22.37420850950326,0.9735886918173896
6,6,17.695606075349403,0.9565543201234605
7,7,11.677112185703788,0.9592268533176846
8,8,31.976166325374844,0.848485012849172
9,9,50.37089825346543,1.15346446302202
10,10,26.453902213997807,1.5303655068079631
11,11,91.34916928403551,0.9819845888349745
12,12,49.60181234033661,1.0907020171483357
13,13,14.702802171193465,0.8387697140375773
14,14,15.896075391657737,0.7877360317442152
15,15,5.507012825101544,0.8507650097211202
16,16,5.338554467194532,0.7637359764840868
17,17,4.516644178425121,0.7835371825430129
18,18,3.7357912260419592,0.7646944721539816
19,19,5.68391793003127,0.7485060493151346
20,20,3.131982737179383,0.7500331666734483
21,21,1.936820789717958,0.7478373911645677
22,22,1.271382331150198,0.7653108768992953
23,23,2.0816928653583036,0.7525539464420743
24,24,1.5634799669442188,0.7504046758015951
25,25,1.5796608193417623,0.7636770009994507
26,26,2.3228244535816915,0.7448226544592116
27,27,2.1846786329841166,0.7511241833368937
28,28,1.5208069855212047,0.7451951106389364
29,29,1.7213012604021076,0.744917651017507
30,30,2.3578414380969153,0.7420761717690362
31,31,3.9460892890878805,0.7588564621077644
32,32,2.2257841659373923,0.7585197885831197
33,33,2.780805822557811,0.7556471162372165
34,34,4.951839517932865,0.7489362756411234
35,35,6.184529101262327,0.7599635521570841
36,36,2.2707069281671868,0.7827138238483005
37,37,2.7413602919433377,0.8381811777750651
38,38,8.08894054378782,1.009585354063246
39,39,24.197919396661764,1.123499141799079
